run_id,software_version,generated_at_utc,symbol,strategy_name,short_window,long_window,requested_start_date,requested_end_date,actual_start_date,actual_end_date,analysis_start_date,analysis_end_date,source,source_version,data_sha256,adjustment_method,initial_capital,fee_rate,slippage_rate,trade_id,status,entry_date,entry_raw_price,entry_execution_price,quantity,entry_fee,entry_slippage_cost,exit_date,exit_raw_price,exit_execution_price,exit_fee,exit_slippage_cost,mark_date,mark_price,holding_days,gross_pnl,total_fees,total_slippage_cost,net_pnl,net_return
f74140da8472ee71,0.1.0,2026-07-14T16:00:00Z,SPY,SMA 双均线,20,60,2015-01-01,2024-12-31,2014-10-07,2024-12-31,2015-01-02,2024-12-31,Yahoo Finance via yfinance,1.5.1,ed981728b13a8092c5729b2cef165cb7e43c51b9dc3b108deed4082bd37c9811,adjusted_close/raw_close ratio applied to raw OHLC; volume retained unadjusted,10000.0000000000,0.0005000000,0.0005000000,11,CLOSED,2019-09-19,272.2484746883,272.3845989256,49.2085494785,6.7018255067,6.6984762686,2020-03-06,267.2119474918,267.0783415181,6.5712688916,6.5745561697,,,116,-247.8401977463,13.2730943983,13.2730324383,-274.3863245828,-0.0204607834
f74140da8472ee71,0.1.0,2026-07-14T16:00:00Z,SPY,SMA 双均线,20,60,2015-01-01,2024-12-31,2014-10-07,2024-12-31,2015-01-02,2024-12-31,Yahoo Finance via yfinance,1.5.1,ed981728b13a8092c5729b2cef165cb7e43c51b9dc3b108deed4082bd37c9811,adjusted_close/raw_close ratio applied to raw OHLC; volume retained unadjusted,10000.0000000000,0.0005000000,0.0005000000,12,CLOSED,2020-05-07,263.8320410551,263.9639570756,49.7393733557,6.5647009067,6.5614201966,2020-10-08,316.9993201119,316.8408204518,7.8797319314,7.8836737683,,,107,2644.5071433097,14.4444328381,14.4450939649,2615.6176165067,0.1991187792
f74140da8472ee71,0.1.0,2026-07-14T16:00:00Z,SPY,SMA 双均线,20,60,2015-01-01,2024-12-31,2014-10-07,2024-12-31,2015-01-02,2024-12-31,Yahoo Finance via yfinance,1.5.1,ed981728b13a8092c5729b2cef165cb7e43c51b9dc3b108deed4082bd37c9811,adjusted_close/raw_close ratio applied to raw OHLC; volume retained unadjusted,10000.0000000000,0.0005000000,0.0005000000,13,CLOSED,2020-10-09,319.5049807154,319.6647332057,49.2507012482,7.8718561373,7.8679221763,2021-10-05,403.4037961536,403.2020942555,9.9289929434,9.9339599234,,,248,4132.0754942252,17.8008490808,17.8018820996,4096.4727630448,0.2600673513
f74140da8472ee71,0.1.0,2026-07-14T16:00:00Z,SPY,SMA 双均线,20,60,2015-01-01,2024-12-31,2014-10-07,2024-12-31,2015-01-02,2024-12-31,Yahoo Finance via yfinance,1.5.1,ed981728b13a8092c5729b2cef165cb7e43c51b9dc3b108deed4082bd37c9811,adjusted_close/raw_close ratio applied to raw OHLC; volume retained unadjusted,10000.0000000000,0.0005000000,0.0005000000,14,CLOSED,2021-10-29,427.4351015060,427.6488190567,46.3888521164,9.9190689125,9.9141118566,2022-01-26,414.6818242151,414.4744833030,9.6134977560,9.6183069094,,,60,-591.6098942465,19.5325666685,19.5324187660,-630.6748796809,-0.0317751447
f74140da8472ee71,0.1.0,2026-07-14T16:00:00Z,SPY,SMA 双均线,20,60,2015-01-01,2024-12-31,2014-10-07,2024-12-31,2015-01-02,2024-12-31,Yahoo Finance via yfinance,1.5.1,ed981728b13a8092c5729b2cef165cb7e43c51b9dc3b108deed4082bd37c9811,adjusted_close/raw_close ratio applied to raw OHLC; volume retained unadjusted,10000.0000000000,0.0005000000,0.0005000000,15,CLOSED,2022-04-06,421.7936733149,422.0045701516,45.5155689860,9.6038890626,9.5990895178,2022-05-02,388.9291024755,388.7346379243,8.8467391148,8.8511646972,,,17,-1495.8496412352,18.4506281774,18.4502542150,-1532.7505236276,-0.0797585500
f74140da8472ee71,0.1.0,2026-07-14T16:00:00Z,SPY,SMA 双均线,20,60,2015-01-01,2024-12-31,2014-10-07,2024-12-31,2015-01-02,2024-12-31,Yahoo Finance via yfinance,1.5.1,ed981728b13a8092c5729b2cef165cb7e43c51b9dc3b108deed4082bd37c9811,adjusted_close/raw_close ratio applied to raw OHLC; volume retained unadjusted,10000.0000000000,0.0005000000,0.0005000000,16,CLOSED,2022-08-03,388.9312850233,389.1257506659,45.4243739036,8.8378967969,8.8334800569,2022-09-21,367.5045243783,367.3207721161,8.3426580476,8.3468314633,,,34,-973.2971870840,17.1805548445,17.1803115202,-1007.6580534487,-0.0569793074
f74140da8472ee71,0.1.0,2026-07-14T16:00:00Z,SPY,SMA 双均线,20,60,2015-01-01,2024-12-31,2014-10-07,2024-12-31,2015-01-02,2024-12-31,Yahoo Finance via yfinance,1.5.1,ed981728b13a8092c5729b2cef165cb7e43c51b9dc3b108deed4082bd37c9811,adjusted_close/raw_close ratio applied to raw OHLC; volume retained unadjusted,10000.0000000000,0.0005000000,0.0005000000,17,CLOSED,2022-11-17,371.6449453938,371.8307678665,44.8285633091,8.3343195588,8.3301544815,2023-01-11,375.0440560610,374.8565340329,8.4021399339,8.4063431054,,,36,152.3772477378,16.7364594926,16.7364975870,118.9042906582,0.0071298483
f74140da8472ee71,0.1.0,2026-07-14T16:00:00Z,SPY,SMA 双均线,20,60,2015-01-01,2024-12-31,2014-10-07,2024-12-31,2015-01-02,2024-12-31,Yahoo Finance via yfinance,1.5.1,ed981728b13a8092c5729b2cef165cb7e43c51b9dc3b108deed4082bd37c9811,adjusted_close/raw_close ratio applied to raw OHLC; volume retained unadjusted,10000.0000000000,0.0005000000,0.0005000000,18,CLOSED,2023-01-27,385.9731821849,386.1661687760,43.4721768585,8.3937419929,8.3895472193,2023-03-20,375.1028011958,374.9152497952,8.1491910230,8.1532676568,,,35,-472.5591248765,16.5429330159,16.5428148761,-505.6448727685,-0.0301052961
f74140da8472ee71,0.1.0,2026-07-14T16:00:00Z,SPY,SMA 双均线,20,60,2015-01-01,2024-12-31,2014-10-07,2024-12-31,2015-01-02,2024-12-31,Yahoo Finance via yfinance,1.5.1,ed981728b13a8092c5729b2cef165cb7e43c51b9dc3b108deed4082bd37c9811,adjusted_close/raw_close ratio applied to raw OHLC; volume retained unadjusted,10000.0000000000,0.0005000000,0.0005000000,19,CLOSED,2023-04-13,392.7445207255,392.9408929858,41.4364910849,8.1410459046,8.1369774158,2023-09-06,431.9879277286,431.7719337647,8.9455569421,8.9500319581,,,100,1626.1090844274,17.0866028466,17.0870093739,1591.9354722069,0.0977233098
f74140da8472ee71,0.1.0,2026-07-14T16:00:00Z,SPY,SMA 双均线,20,60,2015-01-01,2024-12-31,2014-10-07,2024-12-31,2015-01-02,2024-12-31,Yahoo Finance via yfinance,1.5.1,ed981728b13a8092c5729b2cef165cb7e43c51b9dc3b108deed4082bd37c9811,adjusted_close/raw_close ratio applied to raw OHLC; volume retained unadjusted,10000.0000000000,0.0005000000,0.0005000000,20,CLOSED,2023-11-24,439.9602422809,440.1802224020,40.6043497680,8.9366158557,8.9321497808,2024-05-02,490.9073012019,490.6618475513,9.9615026379,9.9664858808,,,109,2068.6722000778,18.8981184936,18.8986356616,2030.8754459226,0.1135698652
f74140da8472ee71,0.1.0,2026-07-14T16:00:00Z,SPY,SMA 双均线,20,60,2015-01-01,2024-12-31,2014-10-07,2024-12-31,2015-01-02,2024-12-31,Yahoo Finance via yfinance,1.5.1,ed981728b13a8092c5729b2cef165cb7e43c51b9dc3b108deed4082bd37c9811,adjusted_close/raw_close ratio applied to raw OHLC; volume retained unadjusted,10000.0000000000,0.0005000000,0.0005000000,21,CLOSED,2024-05-20,515.6595992674,515.9174290670,38.5780574675,9.9515461135,9.9465728271,2024-08-14,530.2960214933,530.0308734826,10.2237807484,10.2288951960,,,59,564.6447377515,20.1753268619,20.1754680231,524.2939428666,0.0263291714
f74140da8472ee71,0.1.0,2026-07-14T16:00:00Z,SPY,SMA 双均线,20,60,2015-01-01,2024-12-31,2014-10-07,2024-12-31,2015-01-02,2024-12-31,Yahoo Finance via yfinance,1.5.1,ed981728b13a8092c5729b2cef165cb7e43c51b9dc3b108deed4082bd37c9811,adjusted_close/raw_close ratio applied to raw OHLC; volume retained unadjusted,10000.0000000000,0.0005000000,0.0005000000,22,OPEN,2024-09-03,547.5086116923,547.7823659982,37.2905836732,10.2135620770,10.2084578480,,,,,,2024-12-31,576.2153320313,83,1070.4903567797,10.2135620770,10.2084578480,1050.0683368547,0.0513798985
